ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,Aruba,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,1279.95727539063,1404.89978027344,1542.16394042969,1690.86108398438,1855.59619140625,2033.5517578125,2225.21826171875,2438.01879882813,2668.08471679688,2922.90673828125,3199.791015625,3507.7744140625,3840.59301757813,4189.53662109375,4577.12353515625,5013.7060546875,5484.23681640625,6042.62646484375,6729.98583984375,7511.79833984375,8254.263671875,9029.81640625,9898.6923828125,10831.6376953125,11853.318359375,12915.638671875,13857.271484375,14993.0908203125,16366.9599609375,17673.70703125,18541.3203125,19442.369140625,20575.248046875,21982.357421875,23548.9375,25524.708984375,27580.51953125,29504.23828125,31460.490234375,32883.515625,33989.49609375,34865.96484375,31570.458984375,29895.3359375,27070.685546875,24339.126953125,21043.9921875,18997.287109375,21126.40234375,20307.86328125,21618.939453125,22440.20703125,22781.564453125,22741.716796875
ABW,Aruba,emp,Number of persons engaged (in millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0292189996689558,0.0304962825030088,0.0317313633859158,0.0330672673881054,0.0344543345272541,0.0359071083366871,0.0374064520001411,0.0389469750225544,0.0405184254050255,0.0419179983437061,0.0425790101289749,0.0430164448916912,0.0433850474655628,0.0437391027808189,0.0441452041268349,0.0446175895631313,0.045103631913662,0.0455986000597477,0.0460926592350006,0.0465239994227886,0.0454937666654587,0.0458460710942745,0.0462042316794395,0.0465714074671268,0.0469367727637291,0.0472940355539322,0.0476337261497974,0.0479495376348496,0.0482396706938744,0.0483856424689293,0.0484568253159523,0.0485577397048473,0.0486284680664539
ABW,Aruba,pop,Population (in millions),,,,,,,,,,,,,,,,,,,,,0.05895,0.058781,0.058895,0.059435,0.060122,0.060813,0.061271,0.061511,0.061719,0.061896,0.062039,0.062266,0.062652,0.063096,0.063469,0.063661,0.063621,0.063408,0.063203,0.06339,0.064433,0.066543,0.068874,0.071072,0.073458,0.075918,0.078482,0.081106,0.083777,0.086472,0.088761,0.090305,0.091379,0.09231,0.093213,0.09423,0.095392,0.096587,0.097805,0.099025,0.100114,0.100981,0.101763,0.102558,0.103373,0.104184,0.104977,0.105731,0.106432,0.107076,0.1074,0.107558,0.107782,0.107939
ABW,Aruba,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,368.250915527344,401.719329833984,438.229522705078,478.057891845703,521.506103515625,568.903076171875,620.607727050781,677.011474609375,738.541564941406,805.663757324219,878.886291503906,958.763732910156,1045.90075683594,1140.95727539063,1244.65295410156,1357.77294921875,1481.173828125,1719.32336425781,2039.95397949219,2287.39697265625,2378.01000976563,2567.3681640625,2718.38989257813,2917.04125976563,3156.35229492188,3235.47436523438,3275.7587890625,3531.74096679688,3767.1884765625,3810.67993164063,3982.6962890625,3918.97143554688,3923.78100585938,3944.35302734375,4243.611328125,4295.7841796875,4338.79150390625,4483.80517578125,4429.08447265625,3997.39990234375,3883.82202148438,3928.1259765625,3863.90209960938,4123.19287109375,4057.77612304688,4032.470703125,4101.81396484375,4390.931640625,4496.18603515625,4395.8115234375,3243.58911132813,4026.3525390625,4369.31396484375,4555.609375
AGO,Angola,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,84761.9453125,93722.4609375,102340.234375,111563.9296875,121023.6484375,129294.671875,136347.546875,143917.375,150128.3125,156396.3125,161762.734375,167668.875,174711.203125,179194.328125,184452.234375,187845.375,190425.8125,193003.734375,194743.25,195130.453125,194326.390625,198953.765625,195770.15625,229486.5625,241486.140625,255894.1875,281528.71875,297164.25,324158.9375,341980.25,342764,347008.8125,355636.875,365307.625,379006.6875,395104.65625,424624.28125,486195.5,591046.4375,742652.75,919790.75,1078727.875,1170629.875,1190952.875,1310791,1308671.75,1275201.875,1534771.125,1268128.625,1174152.875,833200.75,683729.4375,696243,703745.125
AGO,Angola,emp,Number of persons engaged (in millions),,,,,,,,,,,,,,,,,,,,,3.19706916809082,3.25752425193787,3.34156513214111,3.44143629074097,3.54588627815247,3.65174341201782,3.75757193565369,3.86829090118408,3.98606491088867,4.10858488082886,4.23818778991699,4.37246799468994,4.51246929168701,4.65860843658447,4.80886507034302,4.96246433258057,5.11774206161499,5.2700891494751,5.42300415039063,5.58081245422363,5.74176073074341,5.93476819992065,6.0980978012085,6.24927043914795,6.4557580947876,6.70654582977295,7.01691246032715,7.31017827987671,7.59632349014282,7.88511896133423,8.21021270751953,8.56436634063721,8.87292385101318,9.08421421051025,9.31517887115479,9.5755672454834,9.88819980621338,10.2060594558716,10.5227975845337,10.8330354690552,11.1688165664673,11.5439758300781,11.9227781295776,12.2837228775024,12.624852180481,12.9602308273315,13.3612470626831,13.7866048812866,14.2241430282593,14.692120552063,15.0938549041748,16.0949058532715,16.6855297088623,17.2608089447022
AGO,Angola,pop,Population (in millions),,,,,,,,,,,,,,,,,,,,,5.852788,5.991102,6.174262,6.388528,6.613367,6.842947,7.074664,7.317829,7.576734,7.847207,8.133872,8.435607,8.751648,9.082983,9.425917,9.77912,10.13945,10.497858,10.861291,11.238562,11.62636,12.023529,12.423712,12.827135,13.249764,13.699778,14.170973,14.660413,15.15937,15.667235,16.194869,16.747208,17.327699,17.943712,18.600423,19.291161,20.015279,20.778561,21.578655,22.414773,23.294825,24.218352,25.177394,26.16562,27.160769,28.157798,29.18307,30.234839,31.297155,32.375632,33.451132,34.532429,35.635029,36.749906
AGO,Angola,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,54250.375,57505.39453125,57620.41015625,62287.65625,64218.578125,61007.65234375,57835.25,58297.9296875,55208.140625,55373.76953125,56702.734375,54207.81640625,54207.81640625,56484.54296875,59873.6171875,61969.19140625,63937.44140625,68413.296875,72225.890625,72505.7421875,72183.3515625,72898.9453125,68642.9140625,52179.9921875,52878.87109375,60810.70703125,69047.125,74069.8046875,77544.53125,79236.15625,81656.5234375,84220.5390625,96457.7890625,99341.7265625,110222.7109375,126788.296875,141556.546875,161387.6875,179405.71875,180946,189738.546875,196326.25,213096.734375,223654.78125,234440.828125,236550.796875,230400.46875,230170.078125,227177.875,225587.609375,212868.46875,215422.875,221885.578125,224326.296875
AIA,Anguilla,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,382.646392822266,414.614013671875,451.7998046875,490.379516601563,528.558959960938,566.950744628906,605.515808105469,645.291137695313,688.183471679688,736.88818359375,786.19189453125,839.210021972656,891.142395019531,935.665161132813,978.60009765625,1028.9677734375,1110.21850585938,1212.44262695313,1284.50415039063,1372.21704101563,1477.38732910156,1530.1337890625,1621.7890625,1693.00317382813,1767.02294921875,1845.01831054688,1934.35498046875,2020.26220703125,2171.11791992188,2367.9345703125,2545.48876953125,2664.833984375,2731.83056640625,2814.72241210938,2970.38305664063,3173.2607421875,3450.09716796875,3877.55224609375,4347.2646484375,4452.60888671875,4479.83984375,4443.7158203125,4013.65649414063,3624.19409179688,3348.1416015625,3065.72143554688,2877.06469726563,2415.42431640625,2865.67260742188,3364.373046875,3547.96264648438,3975.53491210938,4090.87573242188,4200.48291015625
AIA,Anguilla,emp,Number of persons engaged (in millions),,,,,,,,,,,,,,,,,,,,,,,,,0.0011800000211224,0.0012620218330994,0.0013449388789013,0.0014283863129094,0.0015114429406821,0.0015944489277899,0.0016765685286372,0.0017602861626073,0.0018466184847056,0.0019320764113217,0.0020409999415278,0.0022411711979657,0.0024670825805515,0.0027076301630586,0.0029631352517753,0.0032382449135184,0.0035257923882454,0.0038232004735618,0.0041209999471902,0.004267880693078,0.0044133113697171,0.0045642633922398,0.0047246129252016,0.0048935818485915,0.0050674793310463,0.005253639537841,0.0054576671682298,0.0056440001353621,0.0053705922327935,,,,,,,,,,,,,,,,,,,,,
AIA,Anguilla,pop,Population (in millions),,,,,,,,,,,,,,,,,,,,,0.006298,0.006355,0.006403,0.006447,0.006479,0.006499,0.006521,0.006543,0.006561,0.006577,0.006588,0.006604,0.006628,0.006647,0.006742,0.006955,0.007219,0.007495,0.007782,0.00809,0.008399,0.008703,0.008982,0.009228,0.009467,0.009714,0.009977,0.010254,0.010537,0.010841,0.011177,0.011472,0.011687,0.011874,0.012068,0.012267,0.01247,0.012676,0.01289,0.013114,0.013345,0.013569,0.013379,0.013252,0.013729,0.01421,0.01432,0.014425,0.014721,0.014823,0.014843,0.014475,0.01418,0.01441
AIA,Anguilla,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,41.1590766906738,40.1306915283203,44.7611465454102,46.6317710876465,46.5377159118652,48.1300811767578,48.8764801025391,48.9685821533203,52.6158561706543,57.6204032897949,60.4272270202637,62.6757507324219,61.9744682312012,62.0252723693848,64.7851028442383,73.1153106689453,82.4369812011719,91.2045974731445,105.39608001709,114.356414794922,143.521392822266,117.450546264648,151.164031982422,162.38883972168,175.390106201172,171.319885253906,176.049774169922,195.349029541016,216.02116394043,224.541320800781,228.387313842773,230.366516113281,219.216613769531,232.257400512695,264.699157714844,295.214263916016,349.014038085938,393.264373779297,388.994873046875,322.064239501953,306.497344970703,317.152557373047,301.257507324219,298.421142578125,313.2099609375,329.084014892578,314.612457275391,297.132385253906,320.892272949219,342.031677246094,242.520538330078,268.632934570313,335.644683837891,343.926544189453
ALB,Albania,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,22711.802734375,24193.52734375,25761.890625,27382.001953125,29102.287109375,30842.578125,32646.654296875,34582.18359375,36534.0703125,38705.40234375,40822.16015625,43046.01953125,45661.03515625,48037.66796875,50535.4140625,52800.796875,55105.890625,57438.73828125,59729.65625,62343.33203125,64706.3125,63212.4375,61922.99609375,61731.2578125,62386.1015625,63472.5546875,64788.12890625,64764.640625,64388.2734375,62579.734375,62967.5234375,63359.3046875,64448.82421875,66732.65625,70379.734375,75910.8125,97320.7265625,106958.34375,119917.5078125,134152.75,150299.1875,164769.515625,168428.03125,171346.3125,206277.40625,203614.4375,211923.6875,211866.796875,220434.625,231582.15625,235767.40625,242758.09375,253158.3125,262863
ALB,Albania,emp,Number of persons engaged (in millions),,,,,,,,,,,,,,,,,,,,,0.731301069259644,0.754610359668732,0.778343021869659,0.802535474300385,0.827136814594269,0.852055668830872,0.877325356006622,0.902966558933258,0.92958015203476,0.956023514270783,0.981762230396271,1.016197681427,1.06408023834229,1.09544932842255,1.11897480487823,1.13526809215546,1.17337214946747,1.20832145214081,1.22973906993866,1.24754846096039,1.23822939395905,1.23592400550842,0.997842788696289,0.953701198101044,1.04119038581848,1.00141835212708,0.984225392341614,0.97840142250061,0.958702683448792,0.940675735473633,0.942997097969055,0.95162707567215,0.949252724647522,0.954126596450806,0.957292795181274,0.956243395805359,0.95743864774704,0.959961473941803,0.920032203197479,0.924646139144898,0.912912428379059,0.95427793264389,0.966450572013855,0.925046980381012,0.933820903301239,0.984531223773956,1.04458510875702,1.08628225326538,1.12976121902466,1.16120851039886,1.10912120342255,1.12774789333344,1.17305755615234,1.16954946517944
ALB,Albania,pop,Population (in millions),,,,,,,,,,,,,,,,,,,,,2.18122,2.234992,2.289265,2.344105,2.399401,2.454859,2.51058,2.566599,2.624621,2.681385,2.735416,2.790413,2.846907,2.90513,2.964958,3.026242,3.087652,3.148838,3.212919,3.260374,3.277966,3.282602,3.282501,3.277825,3.26941,3.258567,3.245678,3.22966,3.210133,3.188595,3.166148,3.147943,3.134092,3.118088,3.098657,3.076159,3.050809,3.022887,2.99293,2.961479,2.928722,2.911504,2.910004,2.907573,2.903749,2.898632,2.897867,2.898242,2.894231,2.88501,2.871954,2.849635,2.827608,2.811655
ALB,Albania,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,10013.3056640625,10413.919921875,10831.9248046875,11267.142578125,11714.5205078125,12189.3349609375,12680.5537109375,13166.10546875,13732.46875,14276.2890625,14737.5986328125,15584.359375,16043.8876953125,16221.1630859375,16018.138671875,16303.3623046875,17215.48828125,17079.80859375,16837.169921875,18494.046875,16649.990234375,11987.6357421875,11126.072265625,12189.658203125,13201.7490234375,14960.5302734375,16028.4560546875,14277.4755859375,15538.083984375,17541.052734375,18759.505859375,20315.287109375,21236.904296875,22411.013671875,23646.9375,24953.779296875,26426.6953125,28007.869140625,30108.484375,31118.408203125,32271.935546875,33093.546875,33562.7421875,33899.171875,34500.796875,35266.328125,36435.22265625,37820.6484375,39340.6484375,40161.95703125,38835.77734375,42296.04296875,44350.1328125,45875.40625
ARE,United Arab Emirates,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,337428,351440.59375,372920.5625,387304.78125,397184.4375,439097,490189.375,563592.625,650461.75,737179,817668.25,892220.9375,963754.4375,1031795.5,1097081,1149094.375,1196319.625,1231582.5,1267929,1308119.125,1343804.75,1381384.5,1438096.75,1470749.25,1507605,1547952.625,1592810.875,1643482.125,1702583.5,1757763.625,1812872,1872792.75,1940318,2020494.25,2103580.75,2201865.25,2311529.75,2487315.5,2659162.25,2841829.75,2982317.25,3111479.5,2907521.75,2828598.75,4135656.75,4267525,4423458.5,4332636,4057753.25,4294786.5,5296067.5,5493170,5720709.5,5953913.5
ARE,United Arab Emirates,emp,Number of persons engaged (in millions),,,,,,,,,,,,,,,,,,,,,0.12578184902668,0.154640316963196,0.188580498099327,0.22643293440342,0.267803549766541,0.288051038980484,0.328536480665207,0.380876272916794,0.436296343803406,0.494267284870148,0.553340017795563,0.587264835834503,0.610137522220612,0.632807910442352,0.654864430427551,0.675988972187042,0.726958572864533,0.787489533424377,0.849395930767059,0.912604153156281,0.977011978626251,1.04248416423798,1.10884320735931,1.17585289478302,1.24322092533112,1.31181597709656,1.38421773910522,1.48469948768616,1.58422839641571,1.68244552612305,1.77900004386902,1.91280710697174,2.05034399032593,2.19122195243835,2.33467435836792,2.4798800945282,2.87979602813721,3.50621652603149,4.24502229690552,4.93082809448242,5.29727029800415,5.40013456344605,5.50612878799439,5.6055154800415,5.6990852355957,5.79295063018799,5.88495969772339,5.91480779647827,5.99971389770508,6.06397247314453,5.95329856872559,5.99940490722656,6.12584590911865,6.20071983337402
ARE,United Arab Emirates,pop,Population (in millions),,,,,,,,,,,,,,,,,,,,,0.286536,0.335027,0.385014,0.436399,0.489087,0.542856,0.615866,0.710209,0.809274,0.91201,1.0157,1.099855,1.16637,1.235305,1.305996,1.377911,1.467383,1.574244,1.681788,1.789851,1.89822,2.006626,2.11473,2.222093,2.328188,2.434662,2.597564,2.81741,3.040421,3.266009,3.493575,3.72359,3.956826,4.192457,4.428967,4.66479,5.0091,5.624635,6.302664,6.707058,6.938363,7.199423,7.497118,7.831847,8.236874,8.674633,9.030873,9.234327,9.34687,9.377847,9.448524,9.789048,10.242086,10.642081
ARE,United Arab Emirates,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,51917.6015625,59445.08203125,68064.625,77934.2890625,89233.3046875,94790.421875,109048.4453125,128066.9296875,125062.875,156187.46875,197453.21875,203064.015625,186310.71875,176944.390625,184586.65625,180176.75,146006.6875,155144.5625,151423.8125,171914.25,202430.625,204171.734375,211001.875,213662.8125,232042.765625,251113.078125,265828.90625,288825.40625,293533.0625,306404.8125,343837.5,348567.5,357049.46875,388471.90625,425635.1875,446300.34375,490204.125,505814.15625,528130.6875,506358.5625,520725.03125,553093.875,563185.0625,591657.1875,616303.8125,658130.9375,694732.875,699839.625,709034.875,716893.4375,681356.6875,711028.125,764424.125,792086.4375
ARG,Argentina,cn,Capital stock at current PPPs (in mil. 2021US$),62541.8984375,68654.9453125,73443.4140625,78126.828125,82708.859375,87915.890625,92227.296875,95449.0390625,101316.9765625,104813.0703125,112766.4140625,121368.71875,127703.4609375,131694.5,138274.78125,144819.625,150639.921875,156569.328125,163418.84375,173333.203125,183773.140625,195234.65625,205327.703125,214200.3125,224138.609375,234093.859375,241908,255841.328125,266685.28125,280605.78125,294758.84375,306053.4375,318989.03125,336038.8125,359397,388121.75,427338.5,481403.21875,550591.8125,634548.5,735458.1875,873050.4375,1069558.375,1327150.875,1628476.625,1900891.875,2054893.5,2110391.75,2143079.75,2125951,2079513.125,2021629.375,1910502.875,1887050,1902409.875,1952913.25,2052343.375,2238584.5,2500285.75,2750466.5,3031695.75,3284094,3362780.25,3398672.5,3444320.25,3512942.25,3481090.5,3665912.75,3878835.75,4035455,4382449.5,4714402.5,4855723,4962359.5
ARG,Argentina,emp,Number of persons engaged (in millions),6.49283885955811,6.59454250335693,6.71951961517334,6.81135511398315,6.93241500854492,7.04640626907349,7.15833282470703,7.25468111038208,7.3543872833252,7.47857570648193,7.57764291763306,7.67295646667481,7.77618455886841,7.88867855072022,7.98553991317749,8.0875244140625,8.19963932037354,8.2967119216919,8.40144634246826,8.48287391662598,8.57740497589111,8.65678024291992,8.74315738677979,8.83120441436768,9.16103172302246,9.26017761230469,9.23285484313965,9.45600986480713,9.59162712097168,9.75939464569092,9.78753852844238,9.83670520782471,9.98936080932617,10.3157749176025,10.5572557449341,10.6875839233398,10.9587926864624,11.1771202087402,11.3988361358643,11.4962272644043,11.8114786148071,12.1906824111938,12.3859348297119,12.3450126647949,12.4161834716797,11.8353137969971,12.1372137069702,12.7625093460083,13.3511428833008,13.461275100708,13.5983610153198,13.505482673645,13.4126663208008,14.0691041946411,14.9968576431274,15.7495889663696,16.2981224060059,16.9614124298096,17.3702507019043,17.5620536804199,18.0767459869385,18.4880313873291,18.7912883758545,19.124418258667,19.3830509185791,19.8544502258301,19.7231750488281,20.0336608886719,20.1350708007813,20.6432781219482,18.7495632171631,20.9869899749756,22.083532333374,22.7903251647949
ARG,Argentina,pop,Population (in millions),17.0902249666788,17.4559449452828,17.8142998526244,18.1669185573674,18.5154356301661,18.8614799396842,19.2039662070337,19.5418053519996,19.8766281439092,20.2100672527532,20.5437515471954,20.8771526427683,21.2091852605842,21.5406400766804,21.872313469085,22.2049999151625,22.5323530993144,22.8538427364096,23.1789873495146,23.5173092630226,23.878327,24.257208,24.644328,25.046005,25.461351,25.874107,26.282283,26.701805,27.132158,27.568895,28.011596,28.463959,28.924262,29.391332,29.863093,30.336441,30.81198,31.291762,31.780532,32.270948,32.755901,33.230294,33.693527,34.152717,34.613491,35.07002,35.513793,35.947791,36.37286,36.794682,37.213984,37.624825,38.029349,38.424282,38.815916,39.216789,39.622115,40.016763,40.424148,40.854831,41.288694,41.73066,42.161721,42.582455,43.024071,43.477012,43.900313,44.288894,44.654882,44.973465,45.191965,45.312281,45.407904,45.538401
ARG,Argentina,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),237924.28125,251976.5,236968.40625,246968.125,255009.546875,272821.5,280016.5625,290777.5,309981.78125,294969.59375,327019.34375,337660.5625,339820.9375,327342.6875,352784.5,385236.90625,386146.21875,396909,417411.03125,455670.46875,470236.90625,487923.25,498060.84375,516708.90625,544641.75,541411.75,541351.3125,575913.5,557362.1875,596473,605140.75,572360.5625,554266.875,577060.25,588633.1875,547687.3125,586812,601674.75,589925.5,548568.4375,541225.25,598032.5,659656.875,700896.375,741802.4375,720696.3125,760526.75,822213.5625,853870.25,824962.8125,818454,782369.6875,697134.5,758740.625,827251.625,900477.125,972939.75,1060578.875,1103609,1038291.6875,1143422.75,1212073.375,1199632.5,1228487.5,1197620.25,1230329.125,1204734.25,1238689.875,1206268.25,1182132.5,1065095.75,1176311,1238301.125,1218352.25
ARM,Armenia,cn,Capital stock at current PPPs (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60618.1015625,62706.68359375,62145.375,61313.8046875,61246.546875,60888.79296875,60854.96875,60121.41796875,58751.57421875,56498.68359375,54015.55859375,51636.56640625,50118.265625,49435.359375,49453.15625,50712.34765625,52702.06640625,54707.4375,57012.3515625,57585.625,58516.05859375,59808.4296875,67702.9375,91203.25,88260.9609375,93613.265625,95791.75,99837.7734375,129905.4375,164010.59375,201069.03125,239942.453125,248957.296875,257531.15625
